Last Reported,Status,Type,ID,Dups,Name,vCenter,Datacenter,Cluster,Host,Tag Count,Server Type,Server Status,Server Environment,OS Type,Engagement Manager,Data Center,Clients - A to I,Client Size Class,Application Stack,Application Environment,QAD Support Environmets,Clients - J to Q,Clients - R to Z,DMZ Server,Zerto Protection,Zerto Destination,Clustered Servers
2018/01/10 21:29,1,Native OS,308054.0,No,QVARRXUCEB02,-,-,-,-,10,VMware Virtual Server,Active,Test,Windows,Cyndi Sherman,Arapahoe - ViaWest,-,Class C,Cebos,Client,-,-,Rexel Holdings USA - 00064686,-,-,-,-
2018/01/10 21:30,1,Native OS,307941.0,No,qvarrxuldb03,-,-,-,-,10,VMware Virtual Server,Active,Development,Linux,Cyndi Sherman,Arapahoe - ViaWest,-,Class C,MFG,Client,-,-,Rexel Holdings USA - 00064686,-,-,-,-
2018/01/10 21:30,1,Native OS,307787.0,No,qvarrxuldb02,-,-,-,-,10,VMware Virtual Server,Active,Test,Linux,Cyndi Sherman,Arapahoe - ViaWest,-,Class C,MFG,Client,-,-,Rexel Holdings USA - 00064686,-,-,-,-
2018/01/10 21:44,1,Native OS,307719.0,No,QVARRXUCEB03,-,-,-,-,10,VMware Virtual Server,Active,Development,Windows,Cyndi Sherman,Arapahoe - ViaWest,-,Class C,Cebos,Client,-,-,Rexel Holdings USA - 00064686,-,-,-,-
2018/01/10 21:28,1,Native OS,307709.0,No,QVARRXUNTS01,-,-,-,-,10,VMware Virtual Server,Active,Production,Windows,Cyndi Sherman,Arapahoe - ViaWest,-,Class C,QRF,Client,-,-,Rexel Holdings USA - 00064686,-,-,-,-
2018/01/10 21:37,1,Native OS,307703.0,No,QVARRXUNTS02,-,-,-,-,11,VMware Virtual Server,Active,Development||Test,Windows,Cyndi Sherman,Arapahoe - ViaWest,-,Class C,QRF,Client,-,-,Rexel Holdings USA - 00064686,-,-,-,-
2018/01/10 21:31,1,Native OS,307697.0,No,QVARRXUWEB01,-,-,-,-,12,VMware Virtual Server,Active,Production,Windows,Cyndi Sherman,Arapahoe - ViaWest,-,Class C,Cebos,Client,-,-,Rexel Holdings USA - 00064686,-,Yes,Delong,-
2018/01/10 21:31,1,Native OS,307674.0,No,QVARRXUWEB03,-,-,-,-,10,VMware Virtual Server,Active,Development,Windows,Cyndi Sherman,Arapahoe - ViaWest,-,Class C,Cebos,Client,-,-,Rexel Holdings USA - 00064686,-,-,-,-
2018/01/10 21:29,1,Native OS,307666.0,No,QVARRXUWEB02,-,-,-,-,10,VMware Virtual Server,Active,Test,Windows,Cyndi Sherman,Arapahoe - ViaWest,-,Class C,Cebos,Client,-,-,Rexel Holdings USA - 00064686,-,-,-,-
2018/01/10 21:30,1,Native OS,307571.0,No,qvarrclldb03,-,-,-,-,10,VMware Virtual Server,Active,Development,Linux,Max Biddle,Arapahoe - ViaWest,-,Class C,MFG,Client,-,-,"Republic Chemicals, LLC - 00064896",-,-,-,-
2018/01/10 21:30,1,Native OS,307437.0,No,qvarrclldb01,-,-,-,-,12,VMware Virtual Server,Active,Production,Linux,Max Biddle,Arapahoe - ViaWest,-,Class C,MFG,Client,-,-,"Republic Chemicals, LLC - 00064896",-,Yes,Delong,-
2018/01/10 21:30,1,Native OS,307301.0,No,qvarrclldb02,-,-,-,-,10,VMware Virtual Server,Active,Test,Linux,Max Biddle,Arapahoe - ViaWest,-,Class C,MFG,Client,-,-,"Republic Chemicals, LLC - 00064896",-,-,-,-
2018/01/10 21:23,1,Native OS,307253.0,No,QVARRCLNTS01,-,-,-,-,12,VMware Virtual Server,Active,Production||Development||Test,Windows,Max Biddle,Arapahoe - ViaWest,-,Class C,QRF,Client,-,-,"Republic Chemicals, LLC - 00064896",-,-,-,-
2017/10/10 18:20,1,VM Guest,306880.0,No,ayv-caterpillar-test-39987160003,81834-vwnt06.odqad.com,ViaWest,Non-Production_Cluster,vwvm012.odqad.com,10,VMware Virtual Server,Active,Development-Infra,Linux,Michael Pack,Arapahoe - ViaWest,-,Unclassified,-,QAD Servers,Temporary Test Server,QAD Cloud Support - 00092315,-,-,-,-,-
2018/01/10 21:30,1,Native OS,306421.0,No,qvarqpsldb05,-,-,-,-,10,VMware Virtual Server,Active,Development,Linux,Bhadresh Patel,Arapahoe - ViaWest,-,Class B,MFG,Client,-,Quality Packaging Specialist - 00063240,-,-,-,-,-
2018/01/10 21:30,1,Native OS,306274.0,No,qvarrstldb01,-,-,-,-,10,VMware Virtual Server,Active,Production,Linux,Cyndi Sherman,Arapahoe - ViaWest,-,Class C,MFG,Client,-,-,Renovis Surgical Tech. Inc. - 00064271,-,-,-,-
2018/01/10 21:30,1,Native OS,306116.0,No,qvarrstldb03,-,-,-,-,10,VMware Virtual Server,Active,Development,Linux,Cyndi Sherman,Arapahoe - ViaWest,-,Class C,MFG,Client,-,-,Renovis Surgical Tech. Inc. - 00064271,-,-,-,-
2018/01/10 21:30,1,Native OS,305968.0,No,qvarqpsldb06,-,-,-,-,10,VMware Virtual Server,Active,Test,Linux,Bhadresh Patel,Arapahoe - ViaWest,-,Class B,MFG,Client,-,Quality Packaging Specialist - 00063240,-,-,-,-,-
2018/01/06 01:30,1,Native OS,305862.0,No,qrlildb2,-,-,-,-,11,VMware Virtual Server,Active,Development||Test,Linux,Rick Johnson,Arapahoe - ViaWest,-,Class B,MFG,Client,-,-,Reed-Lane Inc. On-Demand - 00061734,-,-,-,-
2018/01/06 01:30,1,Native OS,305753.0,No,qrlildb1,-,-,-,-,12,VMware Virtual Server,Active,Production,Linux,Rick Johnson,Arapahoe - ViaWest,-,Class B,MFG,Client,-,-,Reed-Lane Inc. On-Demand - 00061734,-,Yes,Delong,-
2018/01/10 21:30,1,Native OS,305604.0,No,qvarrstldb02,-,-,-,-,10,VMware Virtual Server,Active,Test,Linux,Cyndi Sherman,Arapahoe - ViaWest,-,Class C,MFG,Client,-,-,Renovis Surgical Tech. Inc. - 00064271,-,-,-,-
2018/01/10 21:30,1,Native OS,305455.0,No,qvarqpsldb07,-,-,-,-,12,VMware Virtual Server,Active,Production,Linux,Bhadresh Patel,Arapahoe - ViaWest,-,Class B,MFG,Client,-,Quality Packaging Specialist - 00063240,-,-,Yes,Delong,-
2018/01/10 21:27,1,Native OS,305394.0,No,QVARRSTNTS01,-,-,-,-,10,VMware Virtual Server,Active,Production,Windows,Cyndi Sherman,Arapahoe - ViaWest,-,Class C,QRF,Client,-,-,Renovis Surgical Tech. Inc. - 00064271,-,-,-,-
2018/01/10 21:14,1,Native OS,305388.0,No,QVARRSTNTS02,-,-,-,-,11,VMware Virtual Server,Active,Development||Test,Windows,Cyndi Sherman,Arapahoe - ViaWest,-,Class C,QRF,Client,-,-,Renovis Surgical Tech. Inc. - 00064271,-,-,-,-
2018/01/10 21:30,1,Native OS,305300.0,No,qvarspllwb01,-,-,-,-,11,VMware Virtual Server,Active,Production,Linux,Michael Pack,Arapahoe - ViaWest,-,Unclassified,SCP,Client,-,QAD Cloud Support - 00092315,-,Yes,-,-,-
2018/01/10 21:30,1,Native OS,305185.0,No,qvarsplldb03,-,-,-,-,10,VMware Virtual Server,Active,Development,Linux,Michael Pack,Arapahoe - ViaWest,-,Unclassified,SCP,Client,-,QAD Cloud Support - 00092315,-,-,-,-,-
2018/01/10 21:30,1,Native OS,305069.0,No,qvarsplldb02,-,-,-,-,10,VMware Virtual Server,Active,Test,Linux,Michael Pack,Arapahoe - ViaWest,-,Unclassified,SCP,Client,-,QAD Cloud Support - 00092315,-,-,-,-,-
2018/01/10 21:30,1,Native OS,304953.0,No,qvarsplldb01,-,-,-,-,12,VMware Virtual Server,Active,Production,Linux,Michael Pack,Arapahoe - ViaWest,-,Unclassified,SCP,Client,-,QAD Cloud Support - 00092315,-,-,Yes,Delong,-
2017/08/23 02:30,1,Native OS,304798.0,No,qvarcbtldb09,-,-,-,-,10,VMware Virtual Server,Retired,Development,Linux,Jose Roso,Arapahoe - ViaWest,CoorsTek Brazil - 00061747,Class B,MFG,Client,-,-,-,-,-,-,-
2018/01/10 21:31,1,Native OS,304743.0,No,QRLINTS1,-,-,-,-,12,VMware Virtual Server,Active,Production||Development||Test,Windows,Rick Johnson,Arapahoe - ViaWest,-,Class B,QRF,Client,-,-,Reed-Lane Inc. On-Demand - 00061734,-,-,-,-
2018/01/10 21:33,1,Native OS,304737.0,No,QVARQPSNTS06,-,-,-,-,12,VMware Virtual Server,Active,Production,Windows,Bhadresh Patel,Arapahoe - ViaWest,-,Class B,QRF,Client,-,Quality Packaging Specialist - 00063240,-,-,Yes,Delong,-
2018/01/10 21:24,1,Native OS,304730.0,No,QVARQPSNTS05,-,-,-,-,11,VMware Virtual Server,Active,Development||Test,Windows,Bhadresh Patel,Arapahoe - ViaWest,-,Class B,QRF,Client,-,Quality Packaging Specialist - 00063240,-,-,-,-,-
2018/01/10 21:30,1,Native OS,304640.0,No,qvarspllwb03,-,-,-,-,11,VMware Virtual Server,Active,Development,Linux,Michael Pack,Arapahoe - ViaWest,-,Unclassified,SCP,Client,-,QAD Cloud Support - 00092315,-,Yes,-,-,-
2018/01/10 21:30,1,Native OS,304524.0,No,qvarspllwb02,-,-,-,-,11,VMware Virtual Server,Active,Test,Linux,Michael Pack,Arapahoe - ViaWest,-,Unclassified,SCP,Client,-,QAD Cloud Support - 00092315,-,Yes,-,-,-
2017/08/23 02:30,1,Native OS,304404.0,No,qvarcbtldb08,-,-,-,-,10,VMware Virtual Server,Retired,Test,Linux,Jose Roso,Arapahoe - ViaWest,CoorsTek Brazil - 00061747,Class B,MFG,Client,-,-,-,-,-,-,-
2017/08/23 02:30,1,Native OS,304268.0,No,qvarcbtldb07,-,-,-,-,10,VMware Virtual Server,Retired,Production,Linux,Jose Roso,Arapahoe - ViaWest,CoorsTek Brazil - 00061747,Class B,MFG,Client,-,-,-,-,-,-,-
