DATE_TIME,STGPOOL_NAME,NODE_NAME,FILESPACE_NAME,FILESPACE_ID,TYPE,PROTECTED_MB,PHYSICAL_MB,TOTAL_SAVED_MB,TOTAL_SAVED_PCT,DEDUP_SAVED_SIZE,DEDUP_PCT,NON_DEDUP_COUNT,NON_DEDUP_SIZE,UNIQUE_COUNT,UNIQUE_SIZE,SHARED_COUNT,SHARED_LOGSIZE,SHARED_PHYSIZE,COMP_SAVED_SIZE,COMP_SAVED_PCT,COMP_COUNT,UNCOMP_COUNT,ENCRYPT_SIZE,ENCRYPT_PCT,ENCRYPT_COUNT,UNENCRYPT_COUNT,REPORT_ID,DESC
2020-02-25 13:26:54.000000,STG001,SPVENP_CORP100_DC,\VMFULL-CORPWMAXDV007,37,Bkup,460,55,405,88.15,363120505,75.28,4,1704,718,41295768,2021,385032849,15866312,62062375,52.05,2112,631,0,0.00,0,2743,164,""
2020-04-21 06:07:26.000000,STG001,SPVENP_CORP100_DC,\VMFULL-CORPWMAXDV008,38,Bkup,247093,41443,205650,83.23,117875482702,45.49,8450,3599664,962245,37446638473,906233,131790763654,6005450049,97764374139,69.23,1775364,101564,0,0.00,0,1876928,171,""
2020-04-20 08:10:41.000000,STG001,SPVENP_CORP100_DC,\VMFULL-CORPWMAXDV008,38,Bkup,247093,41442,205650,83.23,117875745838,45.50,8450,3599664,962245,37446638473,906233,131790763654,6005202976,97764358076,69.23,1775364,101564,0,0.00,0,1876928,169,""
2020-04-18 11:43:16.000000,STG001,SPVENP_CORP100_DC,\VMFULL-CORPWMAXDV008,38,Bkup,247093,41443,205650,83.23,117875435090,45.49,8450,3599664,962245,37446638473,906233,131790763654,6005484113,97764387687,69.23,1775364,101564,0,0.00,0,1876928,167,""
2020-03-10 22:35:23.000000,STG001,SPVENP_CORP100_DC,\VMFULL-CORPWMAXDV008,38,Bkup,240311,39349,200962,83.63,115272917847,45.75,15851,6752202,926931,35413749516,898984,128981800500,5839476283,95451367691,69.82,1735894,105872,0,0.00,0,1841766,166,""
2020-03-09 11:28:47.000000,STG001,SPVENP_CORP100_DC,\VMFULL-CORPWMAXDV008,38,Bkup,238493,38962,199531,83.66,115028509096,46.00,14470,6163932,907374,35019846422,894151,128675785588,5828480754,94194535751,69.75,1711516,104479,0,0.00,0,1815995,165,""
2020-02-25 13:26:54.000000,STG001,SPVENP_CORP100_DC,\VMFULL-CORPWMAXDV008,38,Bkup,225406,38926,186480,82.73,107458212291,45.46,3523,1500762,793110,33805314576,844649,122533110852,7010137161,88080237541,68.33,1547909,93373,0,0.00,0,1641282,164,""
2020-04-21 06:07:26.000000,STG001,SPVENP_CORP100_DC,\VMFULL-CORPWMAXDV012,39,Bkup,258135,45818,212317,82.25,153430931023,56.68,7131,3037770,894587,43196266583,1790069,164048704686,4844487793,69199159752,59.02,2579536,112251,0,0.00,0,2691787,171,""
2020-04-20 08:10:41.000000,STG001,SPVENP_CORP100_DC,\VMFULL-CORPWMAXDV012,39,Bkup,258135,45818,212317,82.25,153430981353,56.68,7131,3037770,894587,43196266583,1790069,164048704686,4844440985,69199156230,59.02,2579536,112251,0,0.00,0,2691787,169,""
2020-04-18 11:43:16.000000,STG001,SPVENP_CORP100_DC,\VMFULL-CORPWMAXDV012,39,Bkup,258135,45818,212316,82.25,153430751559,56.68,7131,3037770,894587,43196266583,1790069,164048704686,4844615523,69199211486,59.02,2579536,112251,0,0.00,0,2691787,167,""
