START_TIME,END_TIME,ACTIVITY,ACTIVITY_DETAILS,ACTIVITY_TYPE,NUMBER,ENTITY,AS_ENTITY,SUB_ENTITY,COMMMETH,ADDRESS,SCHEDULE_NAME,EXAMINED,AFFECTED,FAILED,BYTES,BYTES_PROTECTED,BYTES_WRITTEN,DEDUP_SAVINGS,COMP_SAVINGS,IDLE,MEDIAW,PROCESSES,COMPLETION_CODE,SUCCESSFUL,VOLUME_NAME,DRIVE_NAME,LIBRARY_NAME,LAST_USE,COMM_WAIT,NUM_OFFSITE_VOLS,INCIDENT_TYPE,ACKNOWLEDGE,CONTACT
2020-03-15 20:22:05.000000,2020-03-15 20:23:10.000000,BACKUP,SESSION_LIST: 284951,SESSION_END,284951,SPVE_SSF_DC (SPVE_SSF_DM02),"","",SSL,10.3.60.16:44744,"",0,375,0,26926404,27027743,11417553,888084,14616741,53,0,1,0,YES,"","","","",0,"","","",""
2020-03-15 20:22:37.000000,2020-03-15 20:23:10.000000,BACKUP,SESSION_LIST: 284956,SESSION_END,284956,SPVE_SSF_DC (SPVE_SSF_DM02),"","",SSL,10.3.60.16:44776,"",0,331,0,23658871,23748022,10212123,656727,12786479,24,0,1,0,YES,"","","","",0,"","","",""
2020-03-15 20:04:26.000000,2020-03-15 20:23:10.000000,BACKUP,VMware,Incremental Forever - Incremental,284427,SPVE_SSF_DM02,SPVE_SSF_DC,LIHBG000APE19,SSL,10.3.60.16:43068,SPVE_SSFDC_SCH01,1,1,0,4391972093,"","","","",0,0,0,0,YES,"","","","",0,"","","",""
2020-03-15 20:19:22.000000,2020-03-15 20:23:14.000000,BACKUP,SESSION_LIST: 284933,SESSION_END,284933,SPVE_SSF_DC (SPVE_SSF_DM01),"","",SSL,lihbg000sp01l:37276,"",0,244,0,6204820092,6204887680,1087241286,3920862649,1196713473,143,0,1,0,YES,"","","","",26,"","","",""
2020-03-15 20:19:20.000000,2020-03-15 20:23:14.000000,BACKUP,SESSION_LIST: 284930,SESSION_END,284930,SPVE_SSF_DC (SPVE_SSF_DM01),"","",SSL,lihbg000sp01l:37274,"",0,277,0,2210925543,2211002272,159548439,1528893290,522480767,200,0,1,0,YES,"","","","",8,"","","",""
2020-03-15 19:59:24.000000,2020-03-15 20:23:17.000000,BACKUP,VMware,Incremental Forever - Incremental,284972,SPVE_SSF_DM01,SPVE_SSF_DC,LIHBG000DVE26,SSL,lihbg000sp01l:37396,SPVE_SSFDC_SCH01,1,1,0,4992538543,"","","","",0,0,0,0,YES,"","","","",0,"","","",""
2020-03-15 20:18:24.000000,2020-03-15 20:23:19.000000,BACKUP,VMware,Incremental Forever - Incremental,284707,SPVE_SSF_DM01,SPVE_SSF_DC,LIHBG000CIE15,SSL,lihbg000sp01l:36560,SPVE_SSFDC_SCH01,1,0,1,0,"","","","",0,0,0,-1,NO,"","","","",0,"","","",""
2020-03-15 19:59:42.000000,2020-03-15 20:23:19.000000,BACKUP,VMware,Incremental Forever - Incremental,284974,SPVE_SSF_DM01,SPVE_SSF_DC,LIHBG000DVNF,SSL,lihbg000sp01l:37400,SPVE_SSFDC_SCH01,1,1,0,4732752404,"","","","",0,0,0,0,YES,"","","","",0,"","","",""
2020-03-15 20:17:09.000000,2020-03-15 20:23:47.000000,BACKUP,SESSION_LIST: 284877,SESSION_END,284877,SPVE_SSF_DC (SPVE_SSF_DM02),"","",SSL,10.3.60.16:44576,"",0,197,0,1563560055,1563614624,395889305,530655974,637012609,370,0,1,0,YES,"","","","",4,"","","",""
2020-03-15 20:10:33.000000,2020-03-15 20:24:19.000000,BACKUP,SESSION_LIST: 284850,SESSION_END,284850,SPVE_SSF_DC (SPVE_SSF_DM02),"","",SSL,10.3.60.16:44462,"",0,163,0,4529194753,4529239904,817522967,2934243323,777426670,770,0,1,0,YES,"","","","",10,"","","",""
2020-03-15 20:08:20.000000,2020-03-15 20:24:20.000000,BACKUP,VMware,Incremental Forever - Incremental,284660,SPVE_SSF_DM02,SPVE_SSF_DC,LIHBG000APNI,SSL,10.3.60.16:43802,SPVE_SSFDC_SCH01,1,1,0,4541342255,"","","","",0,0,0,0,YES,"","","","",0,"","","",""
2020-03-15 20:23:30.000000,2020-03-15 20:24:28.000000,BACKUP,SESSION_LIST: 284977,SESSION_END,284977,SPVE_SSF_DC (SPVE_SSF_DM02),"","",SSL,10.3.60.16:44836,"",0,413,0,29747937,29859802,12259869,613918,16869706,45,0,1,0,YES,"","","","",0,"","","",""
2020-03-15 20:23:55.000000,2020-03-15 20:24:28.000000,BACKUP,SESSION_LIST: 284980,SESSION_END,284980,SPVE_SSF_DC (SPVE_SSF_DM02),"","",SSL,10.3.60.16:44852,"",0,269,0,18842357,18913774,7714800,1516457,9608262,25,0,1,0,YES,"","","","",0,"","","",""
